"","targetarea_codes","admin2Pcod","admin0Pcod","admin1Pcod","admin2Name","area","estimated_population_current","FH","Direct","poppoor"
"1",1101,"SO1101","SO","SO11","Borama",3100.89488146716,391181,0.295191014864437,0.297543997105364,115473.116385685
"2",1102,"SO1102","SO","SO11","Baki",3435.78721190125,59923,0.511338477620683,0.518767207393476,30640.9355944642
"3",1103,"SO1103","SO","SO11","Lughaye",3350.48130767895,62671,0.56384457962035,0.767857142857143,35336.703649387
"4",1104,"SO1104","SO","SO11","Zeylac",6065.02315057404,60237,0.196956129390415,0.172653881202566,11864.0463660905
"5",1201,"SO1201","SO","SO12","Hargeysa",13768.4224680092,947606,0.398369639651975,0.405982142525084,377497.46075205
"6",1202,"SO1202","SO","SO12","Berbera",10300.7410366417,172157,0.501843188940734,0.505944612246371,86395.81787847
"7",1203,"SO1203","SO","SO12","Gebiley",4295.01854484815,192183,0.483496467325506,0.534220827009291,92919.8015800178
"8",1301,"SO1301","SO","SO13","Burco",16145.9331700736,471681,0.423762040658134,0.419417855991467,199880.503099669
"9",1302,"SO1302","SO","SO13","Buuhoodle",6823.86121144698,88269,0.562138893108413,0.589822391679801,49619.4379557865
"10",1303,"SO1303","SO","SO13","Owdweyne",8392.74618453498,88793,0.347145848663966,0.273188809006229,30824.1213404195
"11",1304,"SO1304","SO","SO13","Sheikh",2974.48866242893,114871,0.320643647485645,0.29113967604909,36832.6564303236
"12",1401,"SO1401","SO","SO14","Laas Caanood",11615.8588527185,239391,0.426720355219271,0.4178359059633,102153.012556297
"13",1402,"SO1402","SO","SO14","Caynabo",8103.60248757312,87176,0.441238144522801,0.38274839194839,38465.3764869197
"14",1403,"SO1403","SO","SO14","Taleex",8624.90774069345,84131,0.596109929619547,0.795159653703028,50151.3244888221
"15",1404,"SO1404","SO","SO14","Xudun",9139.86166244036,86873,0.503048025001266,NA,43701.291075935
"16",1501,"SO1501","SO","SO15","Ceerigaabo",26072.7565977832,160748,0.40468664331218,0.388482035309616,65052.5685391462
"17",1502,"SO1502","SO","SO15","Ceel Afweyn",15735.1429426001,84258,0.581168664916415,0.675076900948935,48968.1093685273
"18",1503,"SO1503","SO","SO15","Laasqoray",12222.7713957749,143553,0.132596513420182,0.105168281001442,19034.6272910074
"19",1601,"SO1601","SO","SO16","Bossaso",7910.43982551867,719181,0.324110143802828,0.309841668040937,233093.857330262
"20",1602,"SO1602","SO","SO16","Bandarbeyla",11330.9855003401,45459,0.502470362003815,NA,22841.8001863314
"21",1603,"SO1603","SO","SO16","Caluula",4547.86209250785,86601,0.452197070196517,0.411941012464921,39160.7184760886
"22",1604,"SO1604","SO","SO16","Iskushuban",18432.4353061353,54527,0.391544456680119,0.341599602647762,21349.7445893969
"23",1605,"SO1605","SO","SO16","Qandala",7426.58897028751,58371,0.502470362003815,NA,29329.6975005247
"24",1606,"SO1606","SO","SO16","Qardho",18708.9966883967,152711,0.498093136329751,0.496064469228997,76064.3009420527
"25",1701,"SO1701","SO","SO17","Garoowe",8628.14725855622,300540,0.31040019896942,0.29152159099823,93287.6757982694
"26",1702,"SO1702","SO","SO17","Burtinle",9712.16655105464,118031,0.293046755530056,0.275654455908669,34588.601601968
"27",1703,"SO1703","SO","SO17","Eyl",9348.8893547566,154076,0.691547989943656,0.928954906737529,106550.948098559
"28",1801,"SO1801","SO","SO18","Gaalkacyo",15242.9326361892,746060,0.640191448024436,0.662107487714482,477621.231713111
"29",1802,"SO1802","SO","SO18","Galdogob",1965.84349931571,167004,0.620317062963006,0.702826410043096,103595.430783074
"30",1803,"SO1803","SO","SO18","Hobyo",25585.7959210821,170342,0.623887390995367,0.828865158320646,106274.225956933
"31",1804,"SO1804","SO","SO18","Jariiban",10974.5794441197,174993,0.502470362003815,NA,87928.7960581337
"32",1805,"SO1805","SO","SO18","Xarardheere",5141.82561809802,74234,0.556352580370343,NA,41300.277451212
"33",1901,"SO1901","SO","SO19","Dhuusamarreeb",12747.1540887171,227154,0.417244957578516,0.405245909612746,94778.8610937901
"34",1902,"SO1902","SO","SO19","Cabudwaaq",6226.03451794597,192203,0.523825390569332,0.528228332080955,100680.811543597
"35",1903,"SO1903","SO","SO19","Cadaado",6442.39925468032,123332,0.609948611628537,0.687565786073878,75226.1821693707
"36",1904,"SO1904","SO","SO19","Ceel Buur",13413.4149360033,98475,0.587611483558323,NA,57865.0408434059
"37",1905,"SO1905","SO","SO19","Ceel Dheer",10405.3690457064,95382,0.642073992530711,NA,61242.3015555642
"38",2001,"SO2001","SO","SO20","Belet Weyne",14932.8598372481,308257,0.782552678739228,0.821123173061709,241227.341090118
"39",2002,"SO2002","SO","SO20","Bulo Burto",16124.4661732667,91275,0.666591460040854,0.765148946202106,60843.1355152289
"40",2003,"SO2003","SO","SO20","Jalalaqsi",3137.5428079624,58014,0.528574862425615,NA,30664.7420687596
"41",2101,"SO2101","SO","SO21","Jowhar",4657.61574502453,391961,0.855458692133579,0.8554696907347,335306.44442737
"42",2102,"SO2102","SO","SO21","Adan Yabaal",3997.77666645648,92072,0.749237964847951,NA,68983.8378994806
"43",2103,"SO2103","SO","SO21","Balcad",4256.95449444759,358453,0.897487315329065,0.898729384477772,321707.020641649
"44",2104,"SO2104","SO","SO21","Cadale",5852.61508431214,75977,0.762371936666341,0.757814292907866,57922.7326320986
"45",2201,"SO2201","SO","SO22","Banadir",242.416717474661,2874431,0.442323643443043,0.439667127509688,1271428.79274563
"46",2301,"SO2301","SO","SO23","Marka",1079.0044181442,264679,0.655576735785839,NA,173517.39485106
"47",2302,"SO2302","SO","SO23","Afgooye",3975.68677199174,505857,0.543436249165247,0.533881744102495,274901.030693984
"48",2303,"SO2303","SO","SO23","Baraawe",3317.427007633,58676,0.556968013232569,NA,32680.6551444342
"49",2304,"SO2304","SO","SO23","Kurtunwaarey",2557.29505714959,69060,0.627716874634412,NA,43350.1273622525
"50",2305,"SO2305","SO","SO23","Qoryooley",3227.85202601956,135558,0.676925814379488,NA,91762.7095456546
"51",2306,"SO2306","SO","SO23","Sablaale",6019.8575994378,101386,0.511222052358223,NA,51830.7590003908
"52",2307,"SO2307","SO","SO23","Wanla Weyn",5737.64764636099,342307,0.506520694125049,NA,173385.579243863
"53",2401,"SO2401","SO","SO24","Baydhaba",12967.3938588053,664963,0.567156557468217,0.571662860827875,377138.125923738
"54",2402,"SO2402","SO","SO24","Buur Hakaba",18106.2171020557,185111,0.549631211583609,NA,101742.783207453
"55",2403,"SO2403","SO","SO24","Diinsoor",9776.25035630518,157504,0.511283271390497,NA,80529.1603770888
"56",2404,"SO2404","SO","SO24","Qansax Dheere",3281.04481534406,123543,0.523397863700504,NA,64662.1422751514
"57",2501,"SO2501","SO","SO25","Xudur",5455.08082307219,104180,0.587247597254507,0.61251608093512,61179.4546819745
"58",2502,"SO2502","SO","SO25","Ceel Barde",7698.34797077635,76423,0.721342146025869,0.77616456919287,55127.130825735
"59",2503,"SO2503","SO","SO25","Tayeeglow",6625.7228776249,149670,0.507021601661267,NA,75885.9231206419
"60",2504,"SO2504","SO","SO25","Waajid",2816.00615940371,81196,0.71139938834172,0.830909237183149,57762.7847357943
"61",2505,"SO2505","SO","SO25","Rab Dhuure",3323.13457139787,81026,0.503714643028437,NA,40813.9826660221
"62",2601,"SO2601","SO","SO26","Garbahaarey",8355.36025508761,134349,0.0903866651724368,0.0503087343106542,12143.3580792517
"63",2602,"SO2602","SO","SO26","Baardheere",15343.1921712505,184538,0.622396116050489,0.702141921759152,114855.734463725
"64",2603,"SO2603","SO","SO26","Belet Xaawo",3829.55584003204,157013,0.314478998317715,0.271790662059713,49377.2909628594
"65",2604,"SO2604","SO","SO26","Ceel Waaq",7803.55369602124,93038,0.505271326445107,NA,47009.4336697999
"66",2605,"SO2605","SO","SO26","Doolow",1625.52035138605,186471,0.599633531020609,0.66327926700826,111814.264162944
"67",2606,"SO2606","SO","SO26","Luuq",8296.32282178118,128029,0.666009014608769,0.738699840281189,85268.4681313461
"68",2701,"SO2701","SO","SO27","Bu'aale",5514.81995274383,135355,0.539129047349634,NA,72973.8122040098
"69",2702,"SO2702","SO","SO27","Jilib",5274.16616692574,153111,0.727673058300014,NA,111414.749629374
"70",2703,"SO2703","SO","SO27","Saakow",8083.1603670354,67803,0.514172663007648,NA,34862.4490699075
"71",2801,"SO2801","SO","SO28","Kismaayo",9270.87656726912,325330,0.567688886005961,0.576198148009139,184686.225284319
"72",2802,"SO2802","SO","SO28","Afmadow",26879.6277596803,250151,0.584304190246405,0.592389281615513,146164.277494328
"73",2803,"SO2803","SO","SO28","Badhaadhe",9804.38405409035,76445,0.46583205422183,NA,35610.5313849878
"74",2804,"SO2804","SO","SO28","Jamaame",2164.40476505884,397870,0.622434086445831,NA,247647.849974203
